Family,Instance Name,METIS,,,,,,,,,SPAC,,,,,,,,,SHEEP,,,,,,,,,NE,,,,,,,,
,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,,Block,,,MaxFlow,,,My,,
,,Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s),Best vertices (10s),Best vertices (100s),Best vertices (1000s)
dimacs10,rgg-n-2-18-s0,268916,268916,268916,273005,268857,268857,273005,268796,268796,269710,269710,269710,270087,269711,269711,270087,269497,269497,661788,642075,642075,651313,651164,649925,661788,661788,306761,278240,278240,278240,278240,278240,278240,278267,278073,278073
dimacs10,rgg-n-2-19-s0,540437,534129,534129,540437,533991,533991,540437,533956,533956,536416,535771,535771,536416,535768,535768,536416,535485,535485,1364913,1351167,1351167,1364879,1358691,1358691,1364913,1364913,612453,551361,551361,551361,551338,551338,551338,551365,551291,551291
dimacs10,t60k,62453,62453,62453,62453,62453,62453,62439,62439,62439,62507,62507,62507,62506,62506,62506,62468,62468,62468,64328,64328,64328,64303,64303,64303,63942,63942,63942,62902,62902,62902,62865,62865,62865,62902,62902,62902
dimacs10,tech-caidaRouterLevel,223338,223338,223338,222353,222346,222326,250100,222092,222092,230512,230512,230512,229301,229295,229236,252802,227789,227789,322942,322942,322942,333258,332933,331402,334102,289285,289285,236312,236312,236312,236261,236261,236261,236301,236301,236301
dimacs10,wing,69999,69999,69999,69998,69998,69998,69795,69795,69795,70016,70016,70016,70013,70013,70013,69837,69837,69837,90343,90343,90343,91057,91002,91002,121227,79368,79368,71487,71487,71487,71449,71449,71449,71478,71478,71478
dimacs10,wing-nodal,15975,15975,15975,15871,15871,15871,15923,15923,15923,16759,16759,16759,16857,16857,16857,16411,16411,16411,51179,51179,51179,56220,52623,52617,49557,49557,49557,15906,15906,15906,15906,15906,15906,15904,15904,15904
email,email-dnc,2733,2733,2733,2745,2745,2745,2773,2773,2773,2877,2877,2877,2903,2903,2903,2883,2883,2883,2985,2985,2985,2936,2936,2936,2929,2929,2929,2919,2919,2919,2919,2919,2919,2919,2919,2919
email,email-enron-large,51886,51886,51886,50616,50615,50613,50868,50868,50868,55453,55453,55453,56121,56120,56116,54951,54951,54951,75810,75810,75810,75810,75810,75810,75810,75810,75810,51099,51099,51099,51099,51099,51099,51096,51096,51096
email,email-EU,38109,38109,38109,38051,38051,38045,37974,37974,37974,39905,39905,39905,39992,39992,39976,39393,39393,39393,40688,40688,40688,40603,40603,40603,40442,40442,40442,38352,38352,38352,38349,38349,38349,38352,38352,38352
email,email-univ,2897,2897,2897,2840,2840,2840,2894,2894,2894,3052,3052,3052,3051,3051,3051,3056,3056,3056,3792,3792,3792,3968,3968,3968,4124,4124,4124,2795,2795,2795,2795,2795,2795,2795,2795,2795
graph500,graph500-scale18-ef16-adj,1620396,1620396,598651,1620393,604614,604604,1620396,1620396,599494,928714,750649,750649,928713,762226,762141,928714,928714,717528,738157,738157,738157,737630,736995,736889,738300,738127,738127,497040,497040,497040,497040,497040,497040,497040,497040,497040
graph500,graph500-scale19-ef16-adj,3095788,3095788,1129513,3095779,1253489,1143101,3095788,3095788,1128441,1760772,1760772,1387473,1760780,1414686,1396856,1760772,1760772,1308554,1365019,1364973,1364973,1365019,1364798,1364752,1365019,1364932,1364932,933890,933890,933890,933890,933890,933890,933890,933890,933890
